id,class
DA029182F0,4
798013C730,2
B5844A85AD,3
C18C7E50D2,1
D16FAB0C67,0
E9D679FD27,3
C276EF0A58,4
0B450FA67F,3
AB001A03CC,4
CB067524B6,4
C295EDF8BF,4
8722663F31,4
5423C4446B,4
61B0E5C347,3
86B9F51B85,2
19885F0860,4
5A408C6649,1
36063E5BF3,4
45C81E37B6,0
B7FEADE8E3,3
40AE4430D5,0
E1B2E2B632,3
D0EAEC6852,4
ECF1F26002,0
D8A276BF30,3
84BFE30019,2
063C98F745,1
5EBC1122F9,1
808B09916A,2
7B8E172B66,3
0E774B0EFE,0
3E50C93D7D,1
D83B73195D,1
40F9EB7B00,4
95A9B0E62F,4
00C22FC0EA,4
D12F125A33,3
98DFCDCDF5,2
844427FE89,4
EBEDB1DF7B,3
F9607BA38B,0
11DCA97731,2
F1FB9BD260,0
54DF054859,1
4DE7B7E5C9,2
AD228F7669,1
BDAFB65A2A,3
1D5632D249,3
9B1927E112,0
7F0F326EA2,4
62F7D4467D,1
4943D43A89,3
1F74D6608F,2
98B0A29127,3
39D563929F,4
C22F6173D7,2
13F52C4859,4
2D3D9A3F59,1
A5822E30CE,4
0B6830EE15,4
7309305DB4,2
4BE6DFF18B,0
84B0E2153E,1
AEC487159E,4
0835E0E6D8,4
B700AC2705,2
7EE4993750,4
245B736A2A,2
08E1BA4B4B,2
2A593B6732,4
A43A8BE8B0,0
A2FBBCE882,2
C687A5BC34,4
030D460C87,1
37BF313921,4
29EC8E2C3E,2
FC4286FA19,2
179DB57CE2,0
F67FC5C3E2,4
BAF4F42D39,4
025D0E8105,2
03FA0DF389,0
C7CAFFAB34,3
6D32029E0C,2
00CECD2708,0
8C920CE63A,1
D55C79699E,4
53196A08B7,0
FF70B5A6CB,3
0B82408803,4
11417923C1,2
BA98021FA5,1
CC487EB3FA,0
17643935EA,1
81BEE1F0DE,3
B32DC55C9C,3
E37060B377,2
98C927CF89,1
5119433930,4
54F09F43B3,4
3787598C28,4
BECC3BBD17,1
FF62AE7D8D,1
1D435D2349,0
864875FBBE,0
A465E89804,4
5F255A0964,4
2C5D892869,0
89F11A1583,0
5138BADA49,2
4F8DE26892,4
5C47D38531,0
40FD801394,2
17905A3861,3
01F03AFBFF,0
A595081686,0
64F2DDA0AA,0
37E43239D9,0
87A4969FED,3
006F8606F6,4
6C6AA226F1,3
1D1A5C997D,2
BE2CA92827,2
F187E09CD7,0
C5D38BB72E,4
05835748A6,1
FDBBFB374B,1
0336FA0322,0
128B157A7C,4
7000E8FB61,0
697C12FB69,2
3773AAE60F,0
70BBCCA162,1
182DF51AF2,2
65BF2008F2,0
DCBE5DDA63,4
CD5A8856CF,0
3DF65C56B4,0
A450FE11D5,4
1C702E88FB,4
B4EA17A404,4
299878E723,2
0125D1C6C3,3
A4E04413DD,0
E6A9AED5E7,3
52A9CD0385,4
2C500069BC,0
4AE404D189,3
77B14A7C59,3
FCED87FC66,2
FEE3BE9A0C,2
8E5CC39832,4
6EC0AE705C,0
130ACCD7F4,2
45D7BB6117,4
A850C101B5,4
6029B72300,1
75FAA1BA1B,2
D3D911F948,1
57134D9B71,0
E2430869CF,0
6FB0E4EF88,4
B3764C086C,2
B509A8A1E7,4
BB745EA3C1,4
B17256020C,4
EBE9C7DC11,0
6E953384B2,1
BE97527F24,0
0158CDF991,4
D789A56ECA,3
E7AE487D2D,2
896F257E36,3
2F4B0CE443,4
C3C880EF02,0
434941CB07,1
13F90261D1,2
3916F48FD9,4
B63DAB3AD8,2
B94FC929D8,4
B35961761D,4
46A3A23476,4
561D588A9C,4
C56B5CDC6B,4
DD6D7F2710,3
5E586D29BD,4
6172FAF0DD,3
769AC28420,3
7B0702E9FD,2
DA7AE1BA0F,4
9E93633EC5,2
CC3137D213,1
D8DC2E8B30,3
0F81941C18,0
2E0B6E1A37,0
D41ABE1C96,3
C574183F0C,0
BF61FFBC1C,3
BC7E817CDE,2
F86382F03A,2
665B409AA0,4
C4E0F2445F,3
730049E065,3
40366589C4,1
27C5695794,4
FE1A7A2598,3
0B5840229C,2
B579D93F3C,3
22913884E4,2
943EEFB9B6,4
A33867A445,4
EAAE22DA59,4
8C15F15BFE,1
7300FE105D,2
2B4377BC32,4
5086F1BCE6,4
944B3EC9DB,4
995C7B8D1E,1
3363E12CE8,2
573A0A9653,2
66A1C2B33C,2
4DD6718F6F,0
4CA2009524,4
5535C96638,4
BE23F3CC81,4
78328F7B5A,3
46F586838F,4
C87E3F6C8A,2
BB17006A63,3
176CB0DE95,0
0F1AF32C93,0
0CFF03FCC1,4
4E264727D7,0
987B12DA46,4
FAC04BFD86,3
6F359C960F,3
FC072E93FE,1
D10ED99F97,2
3C59DD40ED,4
6662BC3C54,4
94CFFD34C6,4
B737DECC6E,3
3F018BA17C,3
B9F95E901E,4
CEA7DC65DD,4
322681980E,2
58F41EE5BC,1
0BC06803FF,4
BF1D3224B2,0
E2BDD9164C,2
3A3A747A61,0
BF6A21B516,2
3CE105CDCE,2
555F8536D8,2
4765841B3C,0
DB7D4CBCF5,3
7344C88005,2
796805FC8D,1
019AE1E661,4
8A1BE95669,3
1F17AF4D18,4
46F41217A1,4
7F181EDA25,1
C2ADD7C478,1
1EF5FCF7BB,0
9480733643,4
7B1861BDDA,4
93AC3DA7A9,2
2801F95BCD,4
CB9FF88AAC,4
FD7D1D9503,3
8D647EED28,4
81A37EC9AC,4
9CC0364979,3
50DE07F13F,4
49F34C8361,3
A383435481,4
A772C33ACC,1
B68637C002,4
CCE602336F,2
3B8478E1DC,4
695507C638,4
FA228FC0CF,2
6C946CC20B,2
958E1D13DE,3
88DE9A0DA4,3
538CFE6771,0
4318710884,0
01693B60FE,1
9B563E666C,0
7C3A14C530,1
43A15DDE89,2
8C3961969E,1
6E9F7168A6,3
0A658E0936,4
4C01D73073,4
657F18C6AE,4
27CF23AB3C,0
BE73FDE831,4
153F77E255,2
F9F8F01AD0,2
F61B1BB71B,0
F421E3CB34,1
1989FCD6FD,4
89BB0929A5,3
A9143FD0AE,1
4D4BC8FBBC,4
3FF56F59D3,3
59DB41383B,4
DFBFBB1F34,3
8B0CB98C5C,4
95CA6CE44E,4
37CB8284E5,0
6AB9C58C18,4
F036D71AF0,4
2973205547,1
C2EFD314BA,4
670514AFCC,1
1D7CC17833,2
3BB7D6834C,3
6E962DAF7F,0
E48ECD7FB5,4
226D535F81,4
DB9EDFE750,4
9F74FBB693,3
BA9DF7ADEE,4
F2CA25AB1A,4
767EC89E7B,0
CEA1BAF3FD,0
C722755EAE,4
99A4217569,2
7D0026F72E,4
5D8FC85BC6,2
933DD144D6,4
107A44BC9B,4
F1A140E07B,4
589C273545,1
11806D76AD,4
EFEFE3ACC4,3
06C1A5D7F1,4
759E1034C2,1
39F36CD5CE,4
2B9A1CC814,4
D5775312BA,1
6A2AF78282,1
ED0602ECCF,4
883538D253,2
2C5DAF4812,1
7350B1E247,4
D620F72A3C,3
89BD0A4EF1,4
8E8DBF8BCF,0
22FABFA5B6,4
BF18A8E759,4
C415C04F50,2
0665427E82,3
129970B6FE,3
BD5451DF52,1
C19DB34416,2
DAD8D52C28,0
369B636E2F,4
6D55955B1A,2
D8EA9167E4,3
61F0DA5DF2,2
464A300EE0,0
23ABA5AC47,1
B0885A6B6A,4
D2C2A30BBD,3
32A1FDCCA5,0
D1D54C7679,1
8D4A3BB275,3
7042FD42EA,1
2F1E75AAD9,2
8E4CB88CC5,1
FE7571BBC1,1
6D0424D6E6,4
131DA4962D,3
6FEA832874,4
B5838F3D73,0
BBAC3FC2EE,4
4BA7ADB747,2
D608B2F8EA,0
6405326438,0
CF6636D979,0
B7C62F06E0,2
B9CA8A32DF,0
56283D543A,4
29B9DC6F6A,2
C5EB5E8942,4
49F1057AEC,4
AFE75C7A36,4
5E03575727,3
717E305DBA,0
76AAF99B64,4
DE293981F6,4
95E877744F,3
31EA573B60,3
CF26F3A06A,4
63785071BD,4
1C7CAA6675,1
6D78411036,3
09AC166B64,4
97C33A960F,4
8CA573420D,4
79238F26A6,1
26CF244858,2
3D441D0702,3
68D0518F1D,3
E6C7BCED4B,4
4296D798EE,0
D5DC1D9EB8,3
5A10112C9B,3
3DAF13E671,4
AC9452A124,4
87D160DF61,4
6DA96CC726,2
521E693C46,0
D916A67DAF,2
C30AD8A4A8,0
D0F620BA98,1
169A298863,4
C3D8B23B69,3
EAF9ED2E0D,1
30B1181054,4
911995A7BB,1
067AB43185,2
BBB52E38C3,0
A06E7B2B3D,4
84353EE4DB,1
BF9E70AFF9,2
6247D7FCC7,0
6FF97D0750,4
B7141FBE9E,2
ABA2AB52B9,1
5D24B9F7C4,2
A044294D03,0
56A4659066,4
416D521441,1
