id,class,,,SVM,MLP,KNN23,,proba,probb,probc,probd,probe,,proba,probb,probc,probd,probe,,proba,probb,probc,probd,probe,,,,,,,,,,,
DA029182F0,4,,,4,4,4,,8.395534231,74.51281355,14.02447693,1.443053366,1.624121921,,0.257210489,97.12278007,2.556638003,0.025132509,0.038238932,,0,100,0,0,0,,8.65274472,271.6355936,16.58111493,1.468185875,1.662360854,4,1,4,1,4
798013C730,2,,,2,2,2,,12.52338344,14.02957445,3.671150279,0.814953675,68.96093815,,3.397290164,4.352007962,0.885597246,0.091579886,91.27352474,,13.39935973,8.503144483,13.57072597,17.18384937,47.34292045,,29.32003334,26.88472689,18.12747349,18.09038293,207.5773833,2,4,2,2,0
B5844A85AD,3,,,3,3,3,,99.31228521,0.502380593,0.06540136,0.067029478,0.052903354,,99.99833529,0.001573919,6.57E-06,8.03E-05,3.91E-06,,100,0,0,0,0,,299.3106205,0.503954512,0.065407934,0.067109783,0.052907263,3,0,3,3,1
C18C7E50D2,1,,,1,1,1,,0.174079508,0.377090613,5.064279125,94.29984495,0.084705803,,0.005719558,0.056584584,2.576980128,97.35808863,0.002627104,,0,0,16.15648159,83.84351841,0,,0.179799067,0.433675198,23.79774084,275.501452,0.087332907,1,3,1,4,2
D16FAB0C67,0,,,0,0,0,,2.562158229,0.717851607,79.2484372,17.3441121,0.127440862,,0.036215009,0.067104277,98.89427296,1.001445337,0.000962414,,0,0,69.38389548,30.61610452,0,,2.598373239,0.784955883,247.5266056,48.96166195,0.128403276,0,2,0,0,3
E9D679FD27,3,,,3,3,3,,98.20252248,0.178767222,0.68357946,0.742935386,0.19219545,,99.92557032,0.001742172,0.012648033,0.058658776,0.001380697,,65.32831692,0,21.61894027,8.824408039,4.22833477,,263.4564097,0.180509394,22.31516777,9.6260022,4.421910917,3,0,3,,
C276EF0A58,4,,,4,4,4,,1.277443164,81.68578876,15.68277212,0.476560477,0.877435478,,0.009528196,96.06422741,3.907732493,0.003973609,0.014538297,,0,92.12487511,7.875124891,0,0,,1.28697136,269.8748913,27.46562951,0.480534086,0.891973775,4,1,4,,
0B450FA67F,3,,,3,3,3,,98.38968711,0.494523186,0.30769269,0.172038705,0.636058306,,99.98000545,0.009524629,0.000200357,0.004118269,0.006151298,,91.98547924,3.972723196,0,4.041797569,0,,290.3551718,4.476771011,0.307893047,4.217954543,0.642209604,3,0,3,,
AB001A03CC,4,,,4,4,4,,4.005312311,86.98357584,2.612913394,3.54949062,2.848707836,,0.274277229,99.13450288,0.11676816,0.182032425,0.292419305,,4.304068824,78.37420248,8.579128879,0,8.742599816,,8.583658364,264.4922812,11.30881043,3.731523045,11.88372696,4,1,4,,
CB067524B6,4,,,4,4,4,,0.294059813,98.61025087,0.541325972,0.020825237,0.533538104,,0.002355964,99.97786251,0.003539542,8.04E-05,0.016161561,,0,100,0,0,0,,0.296415776,298.5881134,0.544865515,0.020905661,0.549699665,4,1,4,,
C295EDF8BF,4,,,4,4,4,,0.611038758,77.47524781,2.984131149,0.526852855,18.40272943,,0.001737108,98.86421409,0.015793042,0.004665325,1.113590438,,0,83.39158694,0,0,16.60841306,,0.612775866,259.7310488,2.999924191,0.53151818,36.12473293,4,1,4,,
8722663F31,4,,,4,4,4,,0.889699088,96.24741599,1.978735301,0.3983696,0.485780024,,0.001830414,99.98631578,0.003480556,0.001534772,0.006838474,,0,95.98412558,4.015874415,0,0,,0.891529502,292.2178574,5.998090273,0.399904372,0.492618498,4,1,4,,
5423C4446B,4,,,4,4,4,,0.846930426,97.35903828,1.082402493,0.288052933,0.423575871,,0.001284607,99.9839961,0.011420233,0.000801614,0.002497448,,0,100,0,0,0,,0.848215033,297.3430344,1.093822727,0.288854546,0.426073319,4,1,4,,
61B0E5C347,3,,,3,3,3,,93.24262831,0.014538968,1.174393959,5.442648432,0.125790331,,98.29844114,0.000204804,0.113842617,1.584536751,0.002974691,,91.16939031,0,4.286965465,4.543644223,0,,282.7104598,0.014743772,5.57520204,11.57082941,0.128765022,3,0,3,,
86B9F51B85,2,,,2,2,2,,0.094934778,0.13714022,0.196803218,0.050685489,99.5204363,,0.000727985,0.00091992,0.000744795,0.000339986,99.99726731,,0,0,0,0,100,,0.095662763,0.13806014,0.197548013,0.051025476,299.5177036,2,4,2,,
19885F0860,4,,,4,4,4,,2.149951273,91.27920925,4.292067876,1.647711066,0.63106053,,0.004114572,99.94891184,0.033898291,0.007203586,0.005871714,,0,100,0,0,0,,2.154065845,291.2281211,4.325966167,1.654914652,0.636932243,4,1,4,,
5A408C6649,1,,,1,1,1,,0.187908931,0.90445547,7.546755369,91.2913816,0.069498626,,0.004492595,0.091489354,1.841161537,98.06198296,0.000873551,,0,0,8.608528278,91.39147172,0,,0.192401526,0.995944824,17.99644518,280.7448363,0.070372176,1,3,1,,
36063E5BF3,4,,,4,4,4,,8.97604095,80.46495323,7.210333862,0.23349793,3.11517403,,0.345399413,99.17655004,0.256184122,0.009874449,0.211991978,,16.4725711,34.79923165,21.65755739,0,27.07063987,,25.79401146,214.4407349,29.12407538,0.243372379,30.39780587,4,1,4,,
45C81E37B6,0,,,0,0,0,,8.419188335,9.645496337,70.70262029,0.659356677,10.57333836,,1.442673307,0.656688834,97.74384393,0.002446613,0.154347318,,17.69103768,25.4856733,48.02633826,0,8.796950759,,27.55289932,35.78785847,216.4728025,0.66180329,19.52463644,0,2,0,,
B7FEADE8E3,3,,,3,3,3,,82.11465277,0.40371766,16.08491711,0.817432888,0.579279571,,93.82227469,0.020006478,6.124531213,0.026372682,0.006814942,,68.91743648,0,31.08256352,0,0,,244.8543639,0.423724138,53.29201184,0.84380557,0.586094512,3,0,3,,
40AE4430D5,0,,,0,0,0,,0.772210935,0.444742309,95.52612276,3.217473118,0.039450875,,0.041875249,0.031320678,99.66206478,0.264484096,0.000255195,,4.288205583,0,79.10296876,16.60882566,0,,5.102291766,0.476062986,274.2911563,20.09078287,0.03970607,0,2,0,,
E1B2E2B632,3,,,3,3,3,,58.88009074,5.848487763,16.39842753,11.6852582,7.187735775,,76.01900978,3.589242013,13.75449159,6.002261262,0.634995356,,43.93560671,0,21.36990774,21.61904046,13.07544509,,178.8347072,9.437729776,51.52282685,39.30655992,20.89817622,3,0,3,,
D0EAEC6852,4,,,4,4,4,,21.07787809,65.89174376,9.500526327,2.744047079,0.785804738,,0.755077279,98.94836225,0.237576001,0.052803636,0.006180832,,0,91.50002277,8.499977233,0,0,,21.83295537,256.3401288,18.23807956,2.796850715,0.79198557,4,1,4,,
ECF1F26002,3,,,3,3,3,,72.63980011,2.011435719,19.31502691,2.943750595,3.089986666,,95.8540166,0.043489004,3.925899863,0.107780222,0.068814312,,35.09733991,20.83832943,30.6653531,9.23673045,4.162247115,,203.5911566,22.89325415,53.90627987,12.28826127,7.321048093,3,0,3,,
D8A276BF30,3,,,3,3,3,,97.08523698,0.194586851,1.128461784,1.549510152,0.042204231,,99.97001219,0.002635784,0.010570854,0.016733331,4.78E-05,,100,0,0,0,0,,297.0552492,0.197222635,1.139032638,1.566243482,0.04225207,3,0,3,,
84BFE30019,2,,,2,2,2,,1.396026726,11.85038071,10.68445322,0.794231062,75.27490828,,0.33753927,1.175939101,10.08330244,0.226522304,88.17669688,,0,21.22770852,17.12605619,0,61.64623529,,1.733565996,34.25402834,37.89381185,1.020753367,225.0978405,2,4,2,,
063C98F745,1,,,1,1,1,,0.152699676,0.159760865,0.634501353,99.00086875,0.052169357,,0.004211632,0.004882079,0.096566612,99.89367073,0.000668944,,0,0,0,100,0,,0.156911308,0.164642944,0.731067965,298.8945395,0.052838301,1,3,1,,
5EBC1122F9,1,,,1,1,1,,0.42929645,3.674770746,1.442026106,94.12758677,0.326319928,,0.003460824,0.173341162,0.019637126,99.79770349,0.0058574,,0,0,4.071742248,95.92825775,0,,0.432757274,3.848111908,5.53340548,289.853548,0.332177328,1,3,1,,
808B09916A,2,,,2,2,2,,1.75229651,15.38212713,2.330490471,1.73825951,78.79682638,,0.454416315,6.371503319,0.133296361,1.093505934,91.94727807,,4.147871902,39.09384791,0,0,56.75828019,,6.354584727,60.84747836,2.463786832,2.831765444,227.5023846,2,4,2,,
7B8E172B66,3,,,3,3,3,,99.6490025,0.102750789,0.181163493,0.043034215,0.024049004,,99.99869284,0.000782644,0.000338571,0.00017474,1.12E-05,,100,0,0,0,0,,299.6476953,0.103533433,0.181502064,0.043208954,0.024060208,3,0,3,,
0E774B0EFE,0,,,0,0,0,,2.275884784,0.824603464,91.7837175,4.923075874,0.192718381,,0.050741301,0.05406841,99.46462943,0.428442125,0.002118734,,0,0,83.93226075,16.06773925,0,,2.326626085,0.878671874,275.1806077,21.41925725,0.194837116,0,2,0,,
3E50C93D7D,1,,,1,1,1,,0.039986708,0.045884222,0.243730547,99.66224973,0.008148795,,0.00073229,0.000315101,0.004737308,99.99418483,3.05E-05,,0,0,0,100,0,,0.040718998,0.046199323,0.248467856,299.6564346,0.008179262,1,3,1,,
D83B73195D,1,,,1,1,1,,3.451876906,0.572109955,19.67839612,76.18118178,0.11643523,,2.494796769,0.065606447,16.5827933,80.85374274,0.003060736,,0,0,37.26567803,62.73432197,0,,5.946673675,0.637716403,73.52686746,219.7692465,0.119495966,1,3,1,,
40F9EB7B00,4,,,4,4,4,,5.111501618,46.87661668,26.84160705,2.887979248,18.28229541,,1.268931529,68.65766045,13.68050586,0.672997955,15.7199042,,0,66.59923976,21.07011155,4.128220448,8.202428241,,6.380433147,182.1335169,61.59222446,7.68919765,42.20462786,4,1,4,,
95A9B0E62F,4,,,4,4,4,,0.724007258,97.99463292,0.823297745,0.16721333,0.290848743,,0.000707589,99.99643414,0.002162478,0.000175294,0.000520501,,0,100,0,0,0,,0.724714847,297.9910671,0.825460223,0.167388625,0.291369245,4,1,4,,
00C22FC0EA,2,,,2,2,4,,1.325114081,28.46631499,5.216027656,5.535566855,59.45697642,,0.009574722,25.77164657,0.045364615,0.558229299,73.61518479,,0,69.64745059,4.317362091,0,26.03518731,,1.334688802,123.8854122,9.578754361,6.093796154,159.1073485,2,4,2,,
D12F125A33,3,,,3,3,3,,93.51922397,0.417253571,0.798090267,4.801575976,0.463856217,,99.72305656,0.004652287,0.004738555,0.265564613,0.00198799,,79.01978187,0,4.174309425,16.8059087,0,,272.2620624,0.421905858,4.977138247,21.87304929,0.465844207,3,0,3,,
98DFCDCDF5,2,,,2,2,2,,0.141121017,2.265019648,0.668863403,0.377526252,96.54746968,,0.000219901,0.108199814,0.006168292,0.004162568,99.88124943,,0,0,0,0,100,,0.141340918,2.373219462,0.675031695,0.381688819,296.4287191,2,4,2,,
844427FE89,4,,,4,4,4,,1.42810369,90.3592787,7.0450436,0.494711293,0.672862712,,0.006125565,99.89873454,0.091935156,0.001318127,0.001886608,,0,100,0,0,0,,1.434229254,290.2580132,7.136978756,0.496029421,0.67474932,4,1,4,,
EBEDB1DF7B,3,,,3,3,3,,99.40966309,0.042824788,0.276401155,0.126540355,0.144570615,,99.99557413,0.001429177,0.002045483,0.000780644,0.000170567,,100,0,0,0,0,,299.4052372,0.044253965,0.278446637,0.127320999,0.144741181,3,0,3,,
F9607BA38B,0,,,0,0,0,,6.067986265,6.331411913,50.58987487,0.893581191,36.11714576,,6.515704019,1.721519369,54.48904298,0.123492514,37.15024112,,12.68677532,17.46186073,48.39502973,8.449363498,13.00697073,,25.2704656,25.51479201,153.4739476,9.466437203,86.27435761,0,2,0,,
11DCA97731,2,,,2,2,2,,0.530793613,0.758563391,1.912580429,0.052179483,96.74588308,,0.007614318,0.079479808,0.094762777,0.000288711,99.81785439,,0,4.144417628,0,0,95.85558237,,0.538407931,4.982460826,2.007343206,0.052468194,292.4193198,2,4,2,,
F1FB9BD260,0,,,0,0,0,,4.99026847,0.527116882,90.92102501,0.173380779,3.388208861,,1.133245285,0.013323246,98.6894577,0.015689337,0.148284427,,8.05879346,29.30165309,54.56583603,0,8.073717425,,14.18230721,29.84209322,244.1763187,0.189070117,11.61021071,0,2,0,,
54DF054859,1,,,1,1,1,,0.293284538,0.136543411,0.711904574,98.81821737,0.040050109,,0.019682947,0.000413587,0.034423524,99.94516067,0.000319277,,0,0,8.530757916,91.46924208,0,,0.312967485,0.136956998,9.277086015,290.2326201,0.040369386,1,3,1,,
4DE7B7E5C9,2,,,2,2,2,,2.170877705,1.635509861,0.827553556,0.401459217,94.96459966,,0.04874794,0.287565344,0.004249211,0.028948769,99.63048874,,0,0,4.099790552,0,95.90020945,,2.219625646,1.923075205,4.931593319,0.430407986,290.4952978,2,4,2,,
