city,lat,lng
Adelaide,-35.3489699,138.4421299
Amsterdam,52.278174,4.7287589
Athens,37.9488181,23.6869862
Auckland,-37.590199,174.443816
Bahia,32.77102142,-117.2480314
Bangkok,13.4940881,100.3278136
Belem,-1.5265847,-48.6244082
Berlin,52.338234,13.88346
Boise,43.511717,-116.3658869
Brisbane,-27.7674409,152.6685227
Brunei,4.2461,114.752
Brussels,50.7962401,4.3138
Bucharest,44.3342445,25.9637001
Buenos_Aires,-34.7051011,-58.5314522
Casablanca,38.19832252,-92.63723608
Chicago,41.6443349,-87.9402669
Copenhagen,55.615441,12.4533824
Denver,39.614431,-105.109927
Detroit,42.255192,-83.287959
Dubai,24.7921359,54.8904543
Dublin,53.2234301,-6.4474847
Edmonton,53.395603,-113.7138017
Guam,13.1022175,144.4647218
Halifax,44.5811671,-63.7225958
Helsinki,59.9224887,24.7828758
Ho_Chi_Minh,10.3493704,106.3638784
Hobart,-42.8916347,147.31561
Hong_Kong,22.1435,113.8259001
Honolulu,21.2548377,-157.949443
Indianapolis,39.632177,-86.3281211
Jakarta,-6.3708331,106.686211
Karachi,24.7466037,66.6539822
Kolkata,22.3436288,88.1165879
Kuala_Lumpur,3.336329,101.61545
Kuching,1.4315987,110.1260605
Lisbon,38.6913994,-9.2298356
Ljubljana,45.990033,14.4195019
London,51.3849401,0.3514683
Los_Angeles,33.7036519,-118.6681759
Louisville,37.9971,-85.948441
Luanda,-8.9509107,13.1580869
Madrid,40.3120639,-3.8341618
Manila,14.5539791,120.932951
Melbourne,-38.4338593,144.5937418
Mexico_City,19.1887101,-99.3267771
Monterrey,25.5001894,-100.4220032
Montreal,45.410246,-73.986345
New_York,40.4773991,-74.2590899
Nicosia,35.1521879,33.3185077
Noumea,-22.3124234,166.3856221
Oslo,59.8096749,10.6225689
Paris,48.815573,2.224199
Perth,-32.4556424,115.6840483
Phoenix,33.2902598,-112.324056
Prague,49.9419363,14.2244533
Puerto_Rico,17.8449191,-67.9611844
Regina,50.3964489,-104.7783923
Rome,41.769596,12.341707
Santiago,-33.6741885,-70.8328819
Sao_Paulo,-24.82209,-46.825514
Singapore,1.1496,103.594
Stockholm,59.224443,17.765876
Sydney,-34.118347,150.5209286
Tahiti,-28.61346,-155.125483
Taipei,24.7900797,121.2826735
Tokyo,34.5776326,138.2991098
Toronto,43.5810245,-79.639219
Tripoli,32.8639441,13.1531881
Tunis,36.7184274,10.179433
Vancouver,49.198177,-123.22474
Vienna,48.1182699,16.18262
Vilnius,54.5688249,25.245791
Warsaw,52.978767,20.8512898
Zagreb,45.7408527,15.8216904
Zurich,47.32023,8.4480599
